Symbol,Name,Last,Sector,Industry,Time,"YTD %Chg","10Y %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W %Chg"
MKTX,"Marketaxess Holdings",384.52,Finance,"Securities Exchanges",2023-03-29,+37.88%,+925.58%,0.77,14386948000,718300000,250220000,6.67,0.75%,+6.89%
MLM,"Martin Marietta Materials",351.24,Construction,"Building - CMT & CNT & AG",2023-03-29,+3.93%,+239.25%,0.87,21494196000,6160700000,866800000,12.08,0.76%,-11.61%
MMC,"Marsh & Mclennan Companies",164.48,Finance,"Insurance - Brokers",2023-03-29,-0.60%,+327.44%,0.93,80268872000,20720000000,3050000000,6.84,1.45%,-2.80%
MMM,"3M Company",103.19,Conglomerates,"Conglomerates - Div Operations",2023-03-29,-13.95%,-4.30%,0.96,56106456000,34229000000,5777000000,10.1,5.90%,-30.96%
MNST,"Monster Beverage Cp",52.15,"Consumer Staples","Beverages - Soft",2023-03-29,+2.73%,+548.51%,0.87,53912604000,6311050000,1191620000,2.23,0.00%,+30.34%
MO,"Altria Group",44.52,"Consumer Staples",Tobacco,2023-03-29,-2.60%,+28.99%,0.59,79207616000,25096000000,5764000000,4.84,8.48%,-14.43%
MOH,"Molina Healthcare Inc",265.46,Medical,"Medical - HMO",2023-03-29,-19.61%,+761.00%,0.66,15487319000,31974000000,792000000,17.91,0.00%,-22.52%
MOS,"Mosaic Company",45.19,"Basic Materials",Fertilizers,2023-03-29,+3.01%,-26.77%,1.53,14687658000,19125200000,3582800000,11.01,2.29%,-33.51%
MPC,"Marathon Petroleum Corp",134.08,Oils-Energy,"Oil - Refining and Marketing",2023-03-29,+15.20%,+193.68%,1.6,58104736000,177453000000,14516000000,26.56,2.28%,+63.57%
MPWR,"Monolithic Power Sys",490.91,"Computers and Technology","Semi Analog & Mixed",2023-03-29,+38.83%,"+1,849.28%",1.14,22471768000,1794150000,437670000,9.28,0.63%,-1.70%
MRK,"Merck & Company",104.92,Medical,"Large Cap Pharma",2023-03-29,-5.43%,+138.76%,0.34,267897728000,59283000000,14519000000,7.48,2.77%,+29.20%
MRNA,"Moderna Inc",148.8,Medical,"Medical - Biomedical",2023-03-29,-17.16%,N/A,1.7,56663808000,19263000000,8362000000,19.96,0.00%,-14.03%
MRO,"Marathon Oil Corp",23.64,Oils-Energy,"Oil - US Integrated",2023-03-29,-12.67%,-30.99%,2.38,14652049000,7540000000,3612000000,4.46,1.72%,-6.52%
MS,"Morgan Stanley",86.24,Finance,"Finance - Investment Brokers",2023-03-29,+1.43%,+286.17%,1.37,142763056000,53668000000,11029000000,6.34,3.65%,-5.51%
MSCI,"MSCI Inc",550.93,"Computers and Technology","Business Software Services",2023-03-29,+18.44%,"+1,500.06%",1.13,43410280000,2248600000,870570000,11.45,1.02%,+8.49%
MSFT,"Microsoft Corp",280.51,"Computers and Technology","Computer - Software",2023-03-29,+16.97%,+862.34%,0.92,2048758240000,198270000000,72738000000,9.12,0.99%,-9.72%
MSI,"Motorola Solutions",276.81,"Computers and Technology","Wireless Equipment",2023-03-29,+7.41%,+326.18%,0.92,45639180000,9112000000,1363000000,9.57,1.29%,+17.73%
MTB,"M&T Bank Corp",122.4,Finance,"Banks - Major Regional",2023-03-29,-15.62%,+15.63%,0.82,20044288000,8603720000,1991660000,14.23,4.36%,-31.77%
MTCH,"Match Group Inc",39.17,Retail-Wholesale,"Internet Commerce",2023-03-29,-5.59%,N/A,1.34,11031901000,3188840000,361950000,2.05,0.00%,-63.67%
MTD,"Mettler-Toledo International",1496.31,"Computers and Technology","Industrial Scientific",2023-03-29,+3.52%,+591.14%,1.18,32523220000,3919710000,872500000,39.54,0.00%,+7.21%
MU,"Micron Technology",63.54,"Computers and Technology","Semi Memory",2023-03-29,+27.13%,+493.99%,1.39,64684968000,30758000000,8687000000,5.76,0.78%,-20.44%
NCLH,"Norwegian Cruise Ord",13.16,"Consumer Discretionary","Leisure & Recreation Services",2023-03-29,+7.52%,-58.01%,2.51,5253028000,4843760000,-2269910000,-4.92,0.00%,-35.93%
NDAQ,"Nasdaq Inc",54.09,Finance,"Securities Exchanges",2023-03-29,-11.83%,+391.70%,0.96,25887818000,6226000000,1125000000,2.67,1.51%,-8.60%
NDSN,"Nordson Corp",217.02,"Industrial Products","Machinery - General Industrial",2023-03-29,-8.71%,+224.49%,0.91,12253854000,2590280000,513100000,9.31,1.21%,-5.04%
NEE,"Nextera Energy",76.11,Utilities,"Utility - Electric Power",2023-03-29,-8.96%,+287.44%,0.44,149539120000,20956000000,4147000000,2.91,2.49%,-9.85%
NEM,"Newmont Mining Corp",48.34,"Basic Materials","Mining - Misc",2023-03-29,+2.42%,+16.16%,0.31,38660760000,11915000000,-429000000,1.86,3.29%,-38.14%
NFLX,"Netflix Inc",332.03,"Consumer Discretionary","Broadcast - Radio & TV",2023-03-29,+12.60%,"+1,096.45%",1.26,144078656000,31615550000,4491920000,9.95,0.00%,-12.28%
NI,"NiSource Inc",27.6,Utilities,"Utility - Electric Power",2023-03-29,+0.66%,+136.11%,0.46,11228468000,5850600000,804100000,1.47,3.67%,-11.11%
NKE,"Nike Inc",120.49,"Consumer Staples","Shoes and Related Apparel",2023-03-29,+2.97%,+299.49%,1.1,182764864000,46710000000,6046000000,3.47,1.15%,-10.62%
NOC,"Northrop Grumman Corp",461.57,Aerospace,"Aerospace - Defense",2023-03-29,-15.40%,+554.31%,0.51,69822624000,36602000000,4896000000,25.55,1.51%,+3.31%
NOW,"Servicenow Inc",438.44,"Computers and Technology","IT Services",2023-03-29,+12.92%,"+1,085.30%",1.03,87103240000,7245000000,325000000,2.05,0.00%,-24.76%
NRG,"NRG Energy",33.18,Utilities,"Utility - Electric Power",2023-03-29,+4.27%,+23.22%,0.99,7581293000,31543000000,1221000000,2.51,4.63%,-11.78%
NSC,"Norfolk Southern Corp",207.25,Transportation,"Transportation - Rail",2023-03-29,-15.90%,+165.43%,1.3,46601916000,12745000000,3270000000,13.9,2.64%,-27.18%
NTAP,"Netapp Inc",62.05,"Computers and Technology","Computer - Storage Devices",2023-03-29,+3.31%,+77.93%,1.19,13001145000,6318000000,937000000,4.4,3.29%,-27.97%
NTRS,"Northern Trust Corp",87.06,Finance,"Banks - Major Regional",2023-03-29,-1.62%,+55.72%,1.08,17650524000,7751700000,1336000000,7.08,3.53%,-26.34%
NUE,"Nucor Corp",149.92,"Basic Materials","Steel - Producers",2023-03-29,+13.74%,+221.21%,1.59,37347436000,41512470000,7607340000,28.73,1.38%,-2.55%
NVDA,"Nvidia Corp",269.84,"Computers and Technology","Semi General",2023-03-29,+84.64%,"+8,133.83%",1.76,652326976000,26974000000,4368000000,2.49,0.06%,-4.38%
NVR,"NVR Inc",5433.99,Construction,"Building - Residential & Comm",2023-03-29,+17.81%,+401.20%,0.98,17580482000,10526430000,1725580000,492.16,0.00%,+17.15%
NWL,"Newell Rubbermaid Inc",12.1,"Consumer Staples","Consumer Prdts - Misc Staple",2023-03-29,-7.49%,-54.83%,0.94,4876344000,9459000000,197000000,1.62,7.80%,-45.50%
NWS,"News Corp Cl B",17.06,"Consumer Discretionary","Movie & TV Production & Dist",2023-03-29,-7.48%,N/A,1.34,9635628000,10385000000,623000000,0.79,1.19%,-25.37%
NWSA,"News Corp Cl A",16.93,"Consumer Discretionary","Movie & TV Production & Dist",2023-03-29,-6.98%,N/A,1.31,9555043000,10385000000,623000000,0.79,1.20%,-24.79%
NXPI,"Nxp Semiconductors",179,"Computers and Technology","Semi Analog & Mixed",2023-03-29,+13.27%,+471.84%,1.53,44951288000,13205000000,2787000000,14.45,2.34%,-5.50%
O,"Realty Income Corp",62.04,Finance,"REIT - Equity Trust Retail",2023-03-29,-2.19%,+34.64%,0.79,40331412000,3343680000,869410000,1.38,5.00%,-9.72%
ODFL,"Old Dominion Freight Line Inc",331.38,Transportation,"Transportation - Truck",2023-03-29,+16.77%,"+1,203.78%",1.08,36531932000,6260080000,1377160000,12.18,0.48%,+4.89%
OGN,"Organon & Co.",22.68,Medical,"Medical Services",2023-03-29,-18.80%,N/A,0.8,5657478000,6174000000,917000000,5.03,5.04%,-35.51%
OKE,"Oneok Inc",62.01,Oils-Energy,"Oil Gas Prod Pipeline MLP",2023-03-29,-5.62%,+27.92%,1.68,27271538000,22386890000,1722220000,3.83,6.26%,-12.71%
OMC,"Omnicom Group Inc",90.48,"Business Services","Advertising Marketing Services",2023-03-29,+10.92%,+50.65%,0.83,17871022000,14289100000,1316500000,6.93,3.16%,+6.69%
ON,"On Semiconductor",79.87,"Computers and Technology","Semi Analog & Mixed",2023-03-29,+28.06%,+825.39%,1.74,33058510000,8326200000,1902200000,5.33,0.00%,+22.27%
ORCL,"Oracle Corp",90.62,"Computers and Technology","Computer - Software",2023-03-29,+10.86%,+177.92%,1.02,242577200000,42440000000,6717000000,4.03,1.42%,+8.40%
ORLY,"O'Reilly Automotive",832.08,Retail-Wholesale,"Retail - Wholesale Auto Parts",2023-03-29,-1.42%,+709.11%,0.88,51250280000,14409860000,2172650000,33.49,0.00%,+21.20%
OTIS,"Otis Worldwide Corp",82.83,Construction,"Building & Construction - Misc",2023-03-29,+5.77%,N/A,0.93,33903096000,13685000000,1253000000,3.18,1.42%,+6.18%
OXY,"Occidental Petroleum Corp",62.09,Oils-Energy,"Oil - US Integrated",2023-03-29,-1.43%,-20.62%,1.77,55871736000,36634000000,13304000000,9.33,1.16%,+9.62%
